Location,Reports,Status,Phone,Source,Date/Time collected,Provider,E-mail,Internet,Wi-fi,Total Blackout
"El Centro, CA",6, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"New York City, NY",6, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"San Francisco, CA",6, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Plano, TX",6, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Greenville, SC",5, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Las Vegas, NV",5, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Minneapolis, MN",5, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Fort Worth, TX",5, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Austin, TX",5, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Stockton, CA",5, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Boston, MA",5, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Arlington, TX",5, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Seattle, WA",5, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Clarkesville, GA",5, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Portland, OR",4, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Hollywood, FL",4, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Farmington, MI",4, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"San Antonio, TX",4, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Pittsburgh, PA",4, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Lawrenceville, GA",4, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Phoenix, AZ",4, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Irving, TX",4, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Kansas City, MO",4, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Richmond, VA",3, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Marysville, CA",3, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Lexington, KY",3, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Roxbury, MA",3, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
