Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Oklahoma City, OK",17, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Bryan, TX",16, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Atlanta, GA",16, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Lubbock, TX",15, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Conroe, TX",15, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Abilene, TX",15, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Kinston, NC",15, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Greenville, NC",15, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Altoona, PA",14, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Detroit, MI",14, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"San Angelo, TX",14, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Midland, TX",13, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Plano, TX",13, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Flagstaff, AZ",13, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Concord, CA",12, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Jonesboro, AR",12, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"New Bern, NC",12, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
