Location,Reports,Status,Phone,Source,Date/Time collected,Provider,E-mail,Internet,Wi-fi,Total Blackout
"Greenville, SC",5, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Las Vegas, NV",5, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Minneapolis, MN",5, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Fort Worth, TX",5, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Austin, TX",5, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Stockton, CA",5, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Boston, MA",5, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Arlington, TX",5, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Seattle, WA",5, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Clarkesville, GA",5, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Portland, OR",4, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Hollywood, FL",4, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Farmington, MI",4, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"San Antonio, TX",4, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Pittsburgh, PA",4, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Lawrenceville, GA",4, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Phoenix, AZ",4, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Irving, TX",4, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Kansas City, MO",4, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Richmond, VA",3, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Marysville, CA",3, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Lexington, KY",3, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Roxbury, MA",3, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
