Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Rochester, NY",425, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"San Antonio, TX",386, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Raleigh, NC",375, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"St. Louis, MO",367, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Honolulu, HI",361, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Dayton, OH",348, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Seattle, WA",347, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"The Bronx, NY",345, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Fullerton, CA",337, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Kansas City, MO",333, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Center Line, MI",324, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Sacramento, CA",315, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Indianapolis, IN",314, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Cincinnati, OH",309, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Fort Worth, TX",303, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Flushing, NY",281, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Irvine, CA",276, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Philadelphia, PA",255, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Canton, GA",247, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"San Diego, CA",223, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Riverside, CA",218, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Irving, TX",217, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Norcross, GA",216, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Arlington, TX",214, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Durham, NC",206, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Trenton, MI",204, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Nashville, TN",198, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Saint Paul, MN",189, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Waianae, HI",170, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Plano, TX",161, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Denver, CO",158, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Portland, OR",157, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
