Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Raleigh, NC",2, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Irvine, CA",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Kiel, WI",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Five Forks, SC",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Wake Forest, NC",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Sandy, UT",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Westwood, KS",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Richmond, VA",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Alexander City, AL",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Montgomery, AL",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Gonzales, LA",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Auburn, AL",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Alabaster, AL",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Smiths Station, AL",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Maylene, AL",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Norcross, GA",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Columbus, GA",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"San Francisco, CA",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Sunset Valley, TX",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Lehi, UT",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Boise, ID",1, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
