Location,Reports,Status,Source,TV,Date/Time collected,Provider,E-mail,Internet,Wi-fi,Total Blackout
"Mattapan, MA",11, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Baltimore, MD",10, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Easton, PA",10, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Watertown, MA",9, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Lombard, IL",9, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Detroit, MI",9, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Charlestown, MA",8, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Northampton, PA",8, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Foxborough, MA",7, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Dorchester, MA",7, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Center Line, MI",7, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Lanham, MD",7, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Astoria, NY",6, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Brookline, MA",6, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Atlanta, GA",6, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Columbus, OH",6, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Roxbury, MA",6, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Newark, NJ",5, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Souderton, PA",5, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Cleveland, OH",5, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Pennsburg, PA",5, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Abington, PA",4, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Arlington, MA",4, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Suitland, MD",4, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Waltham, MA",4, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Lexington, MA",4, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Coopersburg, PA",4, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Macungie, PA",4, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Tinley Park, IL",3, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Cambridge, MA",3, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Allston, MA",3, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Jersey City, NJ",3, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Roslindale, MA",3, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Bristow, VA",3, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
"Harleysville, PA",3, No problems detected ,Is the service down,18.37%,Thu 21 Mar 2019 13:15:02,RCN,4.59%,66.84%,5.10%,5.10%
