Date/Time collected,E-mail,Internet,Location,Phone,Provider,Reports,Source,Status,TV,Total Blackout,Wi-fi
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Newark, NJ",62.46%,Verizon,50,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Columbus, OH",62.46%,Verizon,49,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Austin, TX",62.46%,Verizon,47,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Nashville, TN",62.46%,Verizon,46,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Birmingham, AL",62.46%,Verizon,39,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Newport News, VA",62.46%,Verizon,38,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Jersey City, NJ",62.46%,Verizon,38,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Cleveland, OH",62.46%,Verizon,37,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"St. Petersburg, FL",62.46%,Verizon,34,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"San Jose, CA",62.46%,Verizon,33,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Woodbridge, VA",62.46%,Verizon,32,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Omaha, NE",62.46%,Verizon,31,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Salt Lake City, UT",62.46%,Verizon,30,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Saint Paul, MN",62.46%,Verizon,29,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Roxbury, MA",62.46%,Verizon,29,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"Jacksonville, FL",62.46%,Verizon,29,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:36:47,5.44%,21.70%,"San Antonio, TX",62.46%,Verizon,26,Is the service down, Problems detected ,3.05%,3.54%,3.81%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Seattle, WA",.67%,DirecTV,52,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Los Angeles, CA",.67%,DirecTV,43,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Minneapolis, MN",.67%,DirecTV,35,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Las Vegas, NV",.67%,DirecTV,35,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Chicago, IL",.67%,DirecTV,33,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Dallas, TX",.67%,DirecTV,27,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Houston, TX",.67%,DirecTV,26,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Phoenix, AZ",.67%,DirecTV,25,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Albuquerque, NM",.67%,DirecTV,23,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Saint Paul, MN",.67%,DirecTV,20,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Boise, ID",.67%,DirecTV,19,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Denver, CO",.67%,DirecTV,19,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"San Antonio, TX",.67%,DirecTV,18,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Columbus, OH",.67%,DirecTV,18,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Spokane, WA",.67%,DirecTV,17,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Detroit, MI",.67%,DirecTV,17,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Atlanta, GA",.67%,DirecTV,15,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Henderson, NV",.67%,DirecTV,13,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Nashville, TN",.67%,DirecTV,10,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Tacoma, WA",.67%,DirecTV,10,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Meridian, ID",.67%,DirecTV,10,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Charlotte, NC",.67%,DirecTV,9,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Indianapolis, IN",.67%,DirecTV,9,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Chandler, AZ",.67%,DirecTV,9,Is the service down, Problems detected ,76.33%,11.67%,1.67%
