Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
26.Feb.2019,21:51,38.71,11:54:55,Thu 21 Mar 2019,Is it down right now?,RCN
04.Mar.2019,16:56,34.73,11:54:55,Thu 21 Mar 2019,Is it down right now?,RCN
07.Mar.2019,04:20,57.26,11:54:55,Thu 21 Mar 2019,Is it down right now?,RCN
12.Mar.2019,04:58,43.65,11:54:55,Thu 21 Mar 2019,Is it down right now?,RCN
16.Mar.2019,17:26,33.92,11:54:55,Thu 21 Mar 2019,Is it down right now?,RCN
20.Mar.2019,00:07,55.95,13:05:46,Thu 21 Mar 2019,Is it down right now?,DirecTV
20.Mar.2019,12:20,7.09,13:05:46,Thu 21 Mar 2019,Is it down right now?,DirecTV
20.Mar.2019,16:40,7.69,13:05:46,Thu 21 Mar 2019,Is it down right now?,DirecTV
21.Mar.2019,01:45,7.14,13:05:46,Thu 21 Mar 2019,Is it down right now?,DirecTV
21.Mar.2019,12:46,16.29,13:05:46,Thu 21 Mar 2019,Is it down right now?,DirecTV
20.Mar.2019,04:56,16.52,13:05:46,Thu 21 Mar 2019,Is it down right now?,DirecTV
20.Mar.2019,14:28,7.85,13:05:46,Thu 21 Mar 2019,Is it down right now?,DirecTV
20.Mar.2019,22:58,6.89,13:05:46,Thu 21 Mar 2019,Is it down right now?,DirecTV
21.Mar.2019,04:35,17.14,13:05:46,Thu 21 Mar 2019,Is it down right now?,DirecTV
21.Mar.2019,15:08,6.88,13:05:46,Thu 21 Mar 2019,Is it down right now?,DirecTV
26.Feb.2019,11:31,56.3,13:05:46,Thu 21 Mar 2019,Is it down right now?,RCN
28.Feb.2019,23:20,54.6,13:05:46,Thu 21 Mar 2019,Is it down right now?,RCN
06.Mar.2019,01:35,39.62,13:05:46,Thu 21 Mar 2019,Is it down right now?,RCN
11.Mar.2019,12:04,34.74,13:05:46,Thu 21 Mar 2019,Is it down right now?,RCN
14.Mar.2019,16:32,39.8,13:05:46,Thu 21 Mar 2019,Is it down right now?,RCN
26.Feb.2019,21:51,38.71,13:05:46,Thu 21 Mar 2019,Is it down right now?,RCN
04.Mar.2019,16:56,34.73,13:05:46,Thu 21 Mar 2019,Is it down right now?,RCN
07.Mar.2019,04:20,57.26,13:05:46,Thu 21 Mar 2019,Is it down right now?,RCN
12.Mar.2019,04:58,43.65,13:05:46,Thu 21 Mar 2019,Is it down right now?,RCN
16.Mar.2019,17:26,33.92,13:05:46,Thu 21 Mar 2019,Is it down right now?,RCN
05.Mar.2019,12:07,82.29,13:36:47,Thu 21 Mar 2019,Is it down right now?,windstream
07.Mar.2019,23:26,75.67,13:36:47,Thu 21 Mar 2019,Is it down right now?,windstream
12.Mar.2019,22:01,73.49,13:36:47,Thu 21 Mar 2019,Is it down right now?,windstream
15.Mar.2019,12:09,73.48,13:36:47,Thu 21 Mar 2019,Is it down right now?,windstream
20.Mar.2019,18:57,70.24,13:36:47,Thu 21 Mar 2019,Is it down right now?,windstream
07.Mar.2019,18:43,81.93,13:36:47,Thu 21 Mar 2019,Is it down right now?,windstream
09.Mar.2019,14:39,69.43,13:36:47,Thu 21 Mar 2019,Is it down right now?,windstream
14.Mar.2019,08:46,67.57,13:36:47,Thu 21 Mar 2019,Is it down right now?,windstream
18.Mar.2019,15:23,73.39,13:36:47,Thu 21 Mar 2019,Is it down right now?,windstream
21.Mar.2019,01:09,69.38,13:36:47,Thu 21 Mar 2019,Is it down right now?,windstream
26.Feb.2019,11:31,56.3,13:36:47,Thu 21 Mar 2019,Is it down right now?,RCN
28.Feb.2019,23:20,54.6,13:36:47,Thu 21 Mar 2019,Is it down right now?,RCN
06.Mar.2019,01:35,39.62,13:36:47,Thu 21 Mar 2019,Is it down right now?,RCN
11.Mar.2019,12:04,34.74,13:36:47,Thu 21 Mar 2019,Is it down right now?,RCN
14.Mar.2019,16:32,39.8,13:36:47,Thu 21 Mar 2019,Is it down right now?,RCN
26.Feb.2019,21:51,38.71,13:36:47,Thu 21 Mar 2019,Is it down right now?,RCN
04.Mar.2019,16:56,34.73,13:36:47,Thu 21 Mar 2019,Is it down right now?,RCN
07.Mar.2019,04:20,57.26,13:36:47,Thu 21 Mar 2019,Is it down right now?,RCN
12.Mar.2019,04:58,43.65,13:36:47,Thu 21 Mar 2019,Is it down right now?,RCN
16.Mar.2019,17:26,33.92,13:36:47,Thu 21 Mar 2019,Is it down right now?,RCN
20.Mar.2019,13:21,7.36,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
20.Mar.2019,18:03,8.51,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
20.Mar.2019,23:09,8.47,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,03:10,7.04,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,10:32,7.17,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
20.Mar.2019,15:51,7.08,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
20.Mar.2019,20:19,10.93,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,01:09,8.66,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,06:41,12.78,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
21.Mar.2019,13:11,8.74,11:54:55,Thu 21 Mar 2019,Is it down right now?,T-Mobile
11.Mar.2019,14:53,220.79,13:36:47,Thu 21 Mar 2019,Is it down right now?,MegaPath
16.Mar.2019,01:21,227.11,13:36:47,Thu 21 Mar 2019,Is it down right now?,MegaPath
16.Mar.2019,22:17,223.29,13:36:47,Thu 21 Mar 2019,Is it down right now?,MegaPath
20.Mar.2019,03:21,227.47,13:36:47,Thu 21 Mar 2019,Is it down right now?,MegaPath
20.Mar.2019,12:49,227.35,13:36:47,Thu 21 Mar 2019,Is it down right now?,MegaPath
13.Mar.2019,20:43,224.44,13:36:47,Thu 21 Mar 2019,Is it down right now?,MegaPath
16.Mar.2019,17:35,225.69,13:36:47,Thu 21 Mar 2019,Is it down right now?,MegaPath
18.Mar.2019,01:58,223.16,13:36:47,Thu 21 Mar 2019,Is it down right now?,MegaPath
20.Mar.2019,09:32,228.26,13:36:47,Thu 21 Mar 2019,Is it down right now?,MegaPath
21.Mar.2019,04:43,222.63,13:36:47,Thu 21 Mar 2019,Is it down right now?,MegaPath
20.Mar.2019,13:34,6.12,11:54:55,Thu 21 Mar 2019,Is it down right now?,Comcast
20.Mar.2019,17:51,5.12,11:54:55,Thu 21 Mar 2019,Is it down right now?,Comcast
20.Mar.2019,23:07,10.35,11:54:55,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,03:50,5.14,11:54:55,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,11:17,5.34,11:54:55,Thu 21 Mar 2019,Is it down right now?,Comcast
20.Mar.2019,15:47,5.55,11:54:55,Thu 21 Mar 2019,Is it down right now?,Comcast
20.Mar.2019,20:52,6.37,11:54:55,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,01:20,5.48,11:54:55,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,06:05,6.04,11:54:55,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,15:10,5.0,11:54:55,Thu 21 Mar 2019,Is it down right now?,Comcast
11.Mar.2019,14:53,220.79,13:05:46,Thu 21 Mar 2019,Is it down right now?,MegaPath
16.Mar.2019,01:21,227.11,13:05:46,Thu 21 Mar 2019,Is it down right now?,MegaPath
16.Mar.2019,22:17,223.29,13:05:46,Thu 21 Mar 2019,Is it down right now?,MegaPath
20.Mar.2019,03:21,227.47,13:05:46,Thu 21 Mar 2019,Is it down right now?,MegaPath
20.Mar.2019,12:49,227.35,13:05:46,Thu 21 Mar 2019,Is it down right now?,MegaPath
13.Mar.2019,20:43,224.44,13:05:46,Thu 21 Mar 2019,Is it down right now?,MegaPath
16.Mar.2019,17:35,225.69,13:05:46,Thu 21 Mar 2019,Is it down right now?,MegaPath
18.Mar.2019,01:58,223.16,13:05:46,Thu 21 Mar 2019,Is it down right now?,MegaPath
20.Mar.2019,09:32,228.26,13:05:46,Thu 21 Mar 2019,Is it down right now?,MegaPath
21.Mar.2019,04:43,222.63,13:05:46,Thu 21 Mar 2019,Is it down right now?,MegaPath
19.Mar.2019,23:15,125.36,11:54:55,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,06:46,160.05,11:54:55,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,15:41,510.18,11:54:55,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,22:06,1512.52,11:54:55,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,05:01,125.52,11:54:55,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,04:00,1511.02,11:54:55,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,09:19,1511.03,11:54:55,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,18:20,510.09,11:54:55,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,02:54,125.55,11:54:55,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,07:54,125.54,11:54:55,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,04:00,1511.02,13:05:46,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,09:19,1511.03,13:05:46,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,18:20,510.09,13:05:46,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,02:54,125.55,13:05:46,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,07:54,125.54,13:05:46,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,06:46,160.05,13:05:46,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,15:41,510.18,13:05:46,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,22:06,1512.52,13:05:46,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,05:01,125.52,13:05:46,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,16:02,1511.18,13:05:46,Thu 21 Mar 2019,Is it down right now?,Cox
26.Feb.2019,21:30,296.66,11:54:55,Thu 21 Mar 2019,Is it down right now?,Mediacom
14.Mar.2019,01:02,261.57,11:54:55,Thu 21 Mar 2019,Is it down right now?,Mediacom
15.Mar.2019,23:24,258.15,11:54:55,Thu 21 Mar 2019,Is it down right now?,Mediacom
19.Mar.2019,04:34,263.87,11:54:55,Thu 21 Mar 2019,Is it down right now?,Mediacom
20.Mar.2019,16:36,168.69,11:54:55,Thu 21 Mar 2019,Is it down right now?,Mediacom
10.Mar.2019,11:25,257.55,11:54:55,Thu 21 Mar 2019,Is it down right now?,Mediacom
15.Mar.2019,07:01,260.96,11:54:55,Thu 21 Mar 2019,Is it down right now?,Mediacom
17.Mar.2019,00:19,259.07,11:54:55,Thu 21 Mar 2019,Is it down right now?,Mediacom
20.Mar.2019,07:59,258.85,11:54:55,Thu 21 Mar 2019,Is it down right now?,Mediacom
20.Mar.2019,20:58,257.84,11:54:55,Thu 21 Mar 2019,Is it down right now?,Mediacom
26.Feb.2019,21:30,296.66,13:36:47,Thu 21 Mar 2019,Is it down right now?,Mediacom
14.Mar.2019,01:02,261.57,13:36:47,Thu 21 Mar 2019,Is it down right now?,Mediacom
15.Mar.2019,23:24,258.15,13:36:47,Thu 21 Mar 2019,Is it down right now?,Mediacom
