4G LTE not working ,4G LTE speed issues ,Cell service down ,Date/Time,Everything is down ,How long ago,Internet down ,Internet speed issues ,Issue,Landline problems ,Location,Provider,Reports in last 20 minutes,Source,Text sending problems ,Website down 
,,,Thu 21 Mar 2019 16:22:44,,1h,50%,25%,Website down,,"Omaha, NE",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:44,,28m,50%,25%,Internet speed issues,,"Kennesaw, GA",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:44,,9m,50%,25%,Internet down,,"Fort Lauderdale, FL",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 17:33:17,67%,16h,33%,,Internet down,,"The Bronx, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:17,67%,12h,33%,,Internet down,,"New York, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:17,67%,12h,33%,,Internet down,,"Santa Fe, NM",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:17,67%,10h,33%,,Internet down,,not recognized,Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:17,67%,2h,33%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:17,67%,2h,33%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:07,,16h,100%,,Internet down,,"The Bronx, NY",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:22:07,,16h,100%,,Internet down,,"The Bronx, NY",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:22:07,,10h,100%,,Internet down,,"Pacoima, CA",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:22:07,,4h,100%,,Internet down,,"Charlotte, NC",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:22:07,,2h,100%,,Internet down,,"Lake Geneva, WI",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:22:07,,6m,100%,,Internet down,,"Taylor, MI",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:21:35,,16h,100%,,Internet down,,"The Bronx, NY",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:21:35,,16h,100%,,Internet down,,"The Bronx, NY",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:21:35,,10h,100%,,Internet down,,"Pacoima, CA",Time Warner Cable,1,Outage Report,,
