Date collected,Location,Provider,Source,Status,Time collected,bad signal ,internet ,landline internet ,limited channels ,mobile internet ,mobile phone ,no network or reception ,no signal ,no tv ,online viewing ,phone ,total blackout ,tv 
Thu 21 Mar 2019,sarasota,Frontier,Down detector,No problems,13:12:11,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,portland,Frontier,Down detector,No problems,13:12:11,,83%,,,,,,,,,8%,8%,
Thu 21 Mar 2019,brooklyn,optimum-cablevision,Down detector,No problems,13:15:02,,85%,,,,,,,,,,10%,
Thu 21 Mar 2019,bronx,optimum-cablevision,Down detector,No problems,13:15:02,,85%,,,,,,,,,,10%,
Thu 21 Mar 2019,new-york,optimum-cablevision,Down detector,No problems,13:15:02,,85%,,,,,,,,,,10%,
Thu 21 Mar 2019,corona,optimum-cablevision,Down detector,No problems,13:15:02,,85%,,,,,,,,,,10%,
Thu 21 Mar 2019,stamford,optimum-cablevision,Down detector,No problems,13:15:02,,85%,,,,,,,,,,10%,
Thu 21 Mar 2019,newark,optimum-cablevision,Down detector,No problems,13:15:02,,85%,,,,,,,,,,10%,
Thu 21 Mar 2019,bayonne,optimum-cablevision,Down detector,No problems,13:15:02,,85%,,,,,,,,,,10%,
Thu 21 Mar 2019,bridgeport,optimum-cablevision,Down detector,No problems,13:15:02,,85%,,,,,,,,,,10%,
Thu 21 Mar 2019,new-rochelle,optimum-cablevision,Down detector,No problems,13:15:02,,85%,,,,,,,,,,10%,
Thu 21 Mar 2019,wayne,optimum-cablevision,Down detector,No problems,13:15:02,,85%,,,,,,,,,,10%,
Thu 21 Mar 2019,los-angeles,T-Mobile,Down detector,No problems,13:12:08,,,,,50%,,,25%,,,25%,,
Thu 21 Mar 2019,houston,T-Mobile,Down detector,No problems,13:12:08,,,,,50%,,,25%,,,25%,,
Thu 21 Mar 2019,new-york,T-Mobile,Down detector,No problems,13:12:08,,,,,50%,,,25%,,,25%,,
Thu 21 Mar 2019,el-centro,T-Mobile,Down detector,No problems,13:12:08,,,,,50%,,,25%,,,25%,,
Thu 21 Mar 2019,brooklyn,T-Mobile,Down detector,No problems,13:12:08,,,,,50%,,,25%,,,25%,,
Thu 21 Mar 2019,chicago,T-Mobile,Down detector,No problems,13:12:08,,,,,50%,,,25%,,,25%,,
Thu 21 Mar 2019,pompano-beach,T-Mobile,Down detector,No problems,13:12:08,,,,,50%,,,25%,,,25%,,
Thu 21 Mar 2019,salt-lake-city,T-Mobile,Down detector,No problems,13:12:08,,,,,50%,,,25%,,,25%,,
